Index	X	Acquisition
0	-3.1095610882358	0
1	-3.0799559212895	0
2	-3.05035075434319	0
3	-3.02074558739689	0
4	-2.99114042045059	0
5	-2.96153525350428	0
6	-2.93193008655798	1
7	-2.90232491961167	1
8	-2.87271975266537	0
9	-2.84311458571907	0
10	-2.81350941877276	2
11	-2.78390425182646	1
12	-2.75429908488016	2
13	-2.72469391793385	0
14	-2.69508875098755	0
15	-2.66548358404124	0
16	-2.63587841709494	1
17	-2.60627325014864	1
18	-2.57666808320233	0
19	-2.54706291625603	0
20	-2.51745774930973	2
21	-2.48785258236342	0
22	-2.45824741541712	1
23	-2.42864224847081	0
24	-2.39903708152451	3
25	-2.36943191457821	0
26	-2.3398267476319	0
27	-2.3102215806856	1
28	-2.2806164137393	2
29	-2.25101124679299	0
30	-2.22140607984669	0
31	-2.19180091290038	2
32	-2.16219574595408	3
33	-2.13259057900778	1
34	-2.10298541206147	1
35	-2.07338024511517	0
36	-2.04377507816886	0
37	-2.01416991122256	1
38	-1.98456474427626	1
39	-1.95495957732995	0
40	-1.92535441038365	2
41	-1.89574924343735	0
42	-1.86614407649104	1
43	-1.83653890954474	0
44	-1.80693374259843	3
45	-1.77732857565213	1
46	-1.74772340870583	0
47	-1.71811824175952	1
48	-1.68851307481322	1
49	-1.65890790786692	1
50	-1.62930274092061	0
51	-1.59969757397431	3
52	-1.570092407028	0
53	-1.5404872400817	0
54	-1.5108820731354	1
55	-1.48127690618909	0
56	-1.45167173924279	1
57	-1.42206657229648	2
58	-1.39246140535018	2
59	-1.36285623840388	1
60	-1.33325107145757	0
61	-1.30364590451127	0
62	-1.27404073756497	2
63	-1.24443557061866	1
64	-1.21483040367236	1
65	-1.18522523672605	2
66	-1.15562006977975	1
67	-1.12601490283345	0
68	-1.09640973588714	2
69	-1.06680456894084	0
70	-1.03719940199454	1
71	-1.00759423504823	2
72	-0.977989068101928	1
73	-0.948383901155624	1
74	-0.91877873420932	0
75	-0.889173567263017	1
76	-0.859568400316713	3
77	-0.829963233370409	2
78	-0.800358066424105	0
79	-0.770752899477801	0
80	-0.741147732531497	1
81	-0.711542565585194	0
82	-0.68193739863889	1
83	-0.652332231692586	0
84	-0.622727064746282	1
85	-0.593121897799979	1
86	-0.563516730853675	2
87	-0.533911563907371	0
88	-0.504306396961067	0
89	-0.474701230014763	3
90	-0.44509606306846	2
91	-0.415490896122156	2
92	-0.385885729175852	4
93	-0.356280562229548	2
94	-0.326675395283244	3
95	-0.297070228336941	3
96	-0.267465061390637	0
97	-0.237859894444333	1
98	-0.208254727498029	2
99	-0.178649560551725	1
100	-0.149044393605421	1
101	-0.119439226659118	3
102	-0.0898340597128141	3
103	-0.0602288927665103	1
104	-0.0306237258202065	1
105	-0.00101855887390268	2
106	0.028586608208672	0
107	0.058191776168181	0
108	0.0877969459127919	1
109	0.117402118350678	0
110	0.147007294390014	4
111	0.176612474938972	2
112	0.206217660905727	1
113	0.235822853198452	2
114	0.265428052725321	2
115	0.295033260394508	2
116	0.324638477114185	0
117	0.354243703792527	4
118	0.383848941337708	6
119	0.413454190657902	4
120	0.443059452661281	3
121	0.47266472825602	3
122	0.502270018350292	4
123	0.53187532385227	3
124	0.56148064567013	3
125	0.591085984712043	3
126	0.620691341886185	1
127	0.650296718100728	3
128	0.679902114263846	0
129	0.709507531283713	3
130	0.739112970068503	2
131	0.768718431526389	3
132	0.798323916565545	2
133	0.827929426094145	4
134	0.857534961020362	1
135	0.88714052225237	2
136	0.916746110698342	3
137	0.946351727266453	5
138	0.975957372864875	2
139	1.00556304840178	9
140	1.03516875478535	8
141	1.06477449292375	2
142	1.09438026372516	1
143	1.12398606809774	4
144	1.15359190694969	0
145	1.18319778118916	7
146	1.21280369172433	2
147	1.24240963946337	3
148	1.27201562531446	4
149	1.30162165018578	2
150	1.33122771498549	1
151	1.36083382062177	6
152	1.3904399680028	4
153	1.42004615803674	9
154	1.44965239163177	4
155	1.47925866969607	2
156	1.50886499313781	2
157	1.53847136286515	4
158	1.56807777978629	4
159	1.59768424480938	2
160	1.6272907588426	6
161	1.65689732279413	4
162	1.68650393757214	3
163	1.71611060408481	3
164	1.7457173232403	4
165	1.77532409594679	5
166	1.80493092311246	4
167	1.83453780564547	6
168	1.86414474445401	4
169	1.89375174044624	12
170	1.92335879453035	7
171	1.95296590761449	5
172	1.98257308060685	9
173	2.01218031441561	2
174	2.04178760994892	7
175	2.07139496811498	11
176	2.10100238982194	8
177	2.13060987597799	7
178	2.1602174274913	6
179	2.18982504527005	6
180	2.21943273022239	8
181	2.24904048325652	9
182	2.2786483052806	12
183	2.30825619720281	11
184	2.33786415993132	6
